"","Tm","X.Bat","BatAge","R.G","G","PA","AB","RS","Hits.Made","X2B","X3B","HR.Made","RBI","SB","CS","BB.Made","SO.Batting","BA","OBP","SLG","OPS","OPS.PLUS","TB","GDP","HBP.Batting","SH","SF","IBB.Batting","LOB.Batting","X.P","PAge","RAperG","W","L","W.L.","ERA","GS","GF","CG","tSho","cSho","SV","IP","Hits.Allowed","RA","ER","HR.Allowed","BB.Allowed","IBB.Pitching","SO.Pitching","HBP.Pitching","BK","WP","BF","ERA.PLUS","FIP","WHIP","H9","HR9","BB9","SO9","SO.Walk","LOB.Pitching","year","RS.RA","PO","WS","X.Fld","RunsAllowedPerGame","DefEff","Inn","Ch","PO.Fielding","A","E","DP","Fld.Percent","Rtot","Rtot.yr"
"668","California Angels1995",45,28.8,5.52,145,5690,5019,801,1390,252,25,186,761,58,39,564,889,0.277,0.352,0.448,0.8,108,2250,115,36,33,38,40,1056,20,30.7,4.81,78,67,0.538,4.52,145,137,8,9,3,42,1284.1,1310,697,645,163,486,23,901,43,10,42,5571,104,4.59,1.398,9.2,1.1,3.4,6.3,1.85,1021,1995,104,0,0,43,4.81,0.696,11559,5364,3853,1416,95,120,0.982,17,2
"669","Chicago Cubs1995",43,28.2,4.81,144,5543,4963,693,1315,267,39,158,648,105,37,440,953,0.265,0.327,0.43,0.757,101,2134,110,34,71,35,46,956,21,27.8,4.66,73,71,0.507,4.13,144,138,6,12,4,45,1301,1313,671,597,162,518,68,926,34,6,38,5664,99,4.57,1.407,9.1,1.1,3.6,6.4,1.79,1090,1995,22,0,0,43,4.66,0.695,11709,5581,3903,1563,115,115,0.979,16,2
"670","Chicago White Sox1995",46,29.6,5.21,145,5770,5060,755,1417,252,37,146,712,110,39,576,767,0.28,0.354,0.431,0.785,107,2181,106,32,46,56,54,1155,26,27.6,5.23,68,76,0.472,4.85,145,133,12,4,2,36,1284.2,1374,758,693,164,617,47,892,39,8,45,5734,93,4.91,1.55,9.6,1.1,4.3,6.2,1.45,1122,1995,-3,0,0,46,5.23,0.683,11562,5377,3854,1415,108,131,0.98,-19,-2
"671","Cincinnati Reds1995",47,28.4,5.19,144,5575,4903,747,1326,277,35,161,694,190,68,519,946,0.27,0.342,0.44,0.782,106,2156,92,40,62,50,42,1001,24,28.3,4.33,85,59,0.59,4.03,144,136,8,10,2,38,1289.1,1270,623,578,131,424,32,903,31,10,58,5445,102,4.08,1.314,8.9,0.9,3,6.3,2.13,954,1995,124,1,0,47,4.33,0.699,11604,5454,3868,1507,79,140,0.986,27,3
"672","Cleveland Indians1995",41,29.1,5.83,144,5686,5028,840,1461,279,23,207,803,132,53,542,766,0.291,0.361,0.479,0.839,116,2407,128,35,31,48,40,1018,20,30.6,4.22,100,44,0.694,3.83,144,134,10,10,4,50,1301,1261,607,554,135,445,16,926,45,5,48,5512,123,4.16,1.311,8.7,0.9,3.1,6.4,2.08,1002,1995,233,1,1,40,4.22,0.699,11709,5601,3903,1597,101,142,0.982,-7,-1
"673","Colorado Rockies1995",41,29.5,5.45,144,5647,4994,785,1406,259,43,200,749,125,59,484,943,0.282,0.35,0.471,0.82,94,2351,118,56,82,31,47,1017,20,28.6,5.44,77,67,0.535,4.97,144,143,1,1,0,43,1288.1,1443,783,711,160,512,31,891,41,13,62,5706,108,4.62,1.517,10.1,1.1,3.6,6.2,1.74,1058,1995,2,1,0,41,5.44,0.671,11595,5637,3865,1665,107,146,0.981,-33,-3
"674","Detroit Tigers1995",45,28.8,4.54,144,5535,4865,654,1204,228,29,159,619,73,36,551,987,0.247,0.327,0.404,0.731,90,1967,121,41,35,43,30,1017,22,27.8,5.86,60,84,0.417,5.49,144,139,5,3,1,38,1275,1509,844,778,170,536,79,729,45,7,67,5774,88,5.06,1.604,10.7,1.2,3.8,5.1,1.36,1105,1995,-190,0,0,45,5.86,0.672,11475,5525,3825,1594,106,143,0.981,-50,-5
"675","Florida Marlins1995",46,28.1,4.71,143,5569,4886,673,1278,214,29,144,636,131,53,517,916,0.262,0.335,0.406,0.741,95,1982,105,49,69,48,36,1028,27,28.3,4.71,67,76,0.469,4.27,143,131,12,7,5,29,1286,1299,673,610,139,562,54,994,46,5,36,5628,99,4.37,1.447,9.1,1,3.9,7,1.77,1097,1995,0,0,0,46,4.71,0.683,11574,5439,3858,1466,115,143,0.979,6,1
"676","Houston Astros1995",44,28.1,5.19,144,5857,5097,747,1403,260,22,109,694,176,60,566,992,0.275,0.353,0.399,0.752,105,2034,114,69,78,47,58,1153,19,27.9,4.68,76,68,0.528,4.06,144,138,6,8,4,32,1320.1,1357,674,596,118,460,52,1056,50,6,53,5703,95,3.82,1.376,9.2,0.8,3.1,7.2,2.3,1068,1995,73,0,0,43,4.68,0.673,11883,5721,3961,1639,121,120,0.979,-47,-5
"677","Kansas City Royals1995",51,29.1,4.37,144,5528,4903,629,1275,240,35,119,578,120,53,475,849,0.26,0.328,0.396,0.724,87,1942,105,43,66,39,33,1018,21,28,4.8,70,74,0.486,4.49,144,133,11,10,3,37,1288,1323,691,642,142,503,38,763,38,5,45,5561,107,4.61,1.418,9.2,1,3.5,5.3,1.52,1006,1995,-62,0,0,51,4.8,0.699,11592,5614,3864,1660,90,168,0.984,46,5
"678","Los Angeles Dodgers1995",49,27.4,4.4,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,0.264,0.329,0.4,0.729,99,1976,99,30,68,35,46,1049,21,27.8,4.23,78,66,0.542,3.66,144,128,16,11,9,37,1295,1188,609,526,125,462,45,1060,37,12,49,5481,103,3.88,1.274,8.3,0.9,3.2,7.4,2.29,987,1995,25,0,0,49,4.23,0.697,11655,5505,3885,1490,130,120,0.976,-24,-3
"679","Milwaukee Brewers1995",41,27.9,5.14,144,5631,5000,740,1329,249,42,128,700,105,40,502,800,0.266,0.336,0.409,0.745,89,2046,105,46,41,42,20,1012,22,27.3,5.19,65,79,0.451,4.82,144,137,7,4,0,31,1286,1391,747,689,146,603,39,699,47,7,45,5707,103,5.01,1.551,9.7,1,4.2,4.9,1.16,1102,1995,-7,0,0,40,5.19,0.688,11574,5632,3858,1669,105,186,0.981,3,0
"680","Minnesota Twins1995",46,27.4,4.88,144,5588,5005,703,1398,270,34,120,662,105,57,471,916,0.279,0.346,0.419,0.765,98,2096,152,58,18,36,32,1025,22,25.7,6.17,56,88,0.389,5.76,144,137,7,2,2,27,1272.2,1450,889,815,210,533,18,790,36,4,52,5714,84,5.35,1.558,10.3,1.5,3.8,5.6,1.48,1007,1995,-186,0,0,44,6.17,0.684,11454,5405,3818,1487,100,141,0.981,4,0
"681","Montreal Expos1995",45,26.2,4.31,144,5453,4905,621,1268,265,24,118,572,120,49,400,901,0.259,0.32,0.394,0.714,85,1935,107,56,58,32,43,970,21,27.6,4.43,66,78,0.458,4.11,144,137,7,9,5,42,1283.2,1286,638,586,128,416,26,950,59,9,45,5491,106,4.03,1.326,9,0.9,2.9,6.7,2.28,1002,1995,-17,0,0,45,4.43,0.689,11553,5518,3851,1558,109,119,0.98,-12,-1
"682","New York Mets1995",45,27.4,4.56,144,5581,4958,657,1323,218,34,125,617,58,39,446,994,0.267,0.33,0.4,0.73,95,1984,105,42,92,43,44,1041,22,27.2,4.29,69,75,0.479,3.88,144,135,9,9,1,36,1291,1296,618,556,133,401,48,901,35,12,39,5483,104,4.06,1.314,9,0.9,2.8,6.3,2.25,992,1995,39,0,0,44,4.29,0.692,11619,5591,3873,1603,115,125,0.979,-22,-2
"683","New York Yankees1995",42,31.1,5.17,145,5699,4947,749,1365,280,34,122,709,50,30,625,851,0.276,0.357,0.42,0.778,103,2079,139,39,20,68,36,1126,20,28.1,4.74,79,65,0.549,4.56,145,127,18,5,3,35,1284.2,1286,688,651,159,535,21,908,32,5,50,5575,102,4.62,1.417,9,1.1,3.7,6.4,1.7,1033,1995,61,1,0,42,4.74,0.702,11562,5345,3854,1417,74,121,0.986,9,1
"684","Oakland Athletics1995",44,29.5,5.07,144,5617,4916,730,1296,228,18,169,694,112,46,565,911,0.264,0.341,0.42,0.762,106,2067,108,45,32,58,25,1049,23,30.9,5.28,67,77,0.465,4.93,144,136,8,4,2,34,1273,1320,761,698,153,556,26,890,53,4,56,5606,87,4.7,1.474,9.3,1.1,3.9,6.3,1.6,1026,1995,-31,0,0,44,5.28,0.688,11457,5407,3819,1486,102,151,0.981,-36,-4
"685","Philadelphia Phillies1995",50,29.7,4.27,144,5613,4950,615,1296,263,30,94,576,72,25,497,884,0.262,0.332,0.384,0.716,90,1901,107,46,77,41,38,1114,26,27.1,4.57,69,75,0.479,4.21,144,136,8,8,3,41,1290.1,1241,658,603,134,538,36,980,55,10,57,5575,100,4.31,1.379,8.7,0.9,3.8,6.8,1.82,1046,1995,-43,0,0,49,4.57,0.697,11613,5488,3871,1520,97,139,0.982,5,1
"686","Pittsburgh Pirates1995",40,28.3,4.37,144,5501,4937,629,1281,245,27,125,587,84,55,456,972,0.259,0.323,0.396,0.719,88,1955,88,24,51,33,45,1010,21,26.4,5.11,58,86,0.403,4.7,144,133,11,7,3,29,1275.1,1407,736,666,130,477,50,871,57,4,65,5618,91,4.32,1.477,9.9,0.9,3.4,6.1,1.83,1056,1995,-107,0,0,40,5.11,0.669,11478,5536,3826,1588,122,138,0.978,-40,-4
"687","San Diego Padres1995",40,28.7,4.64,144,5527,4950,668,1345,231,20,116,618,124,46,447,872,0.272,0.334,0.397,0.731,95,1964,125,35,56,38,45,998,20,26.6,4.67,70,74,0.486,4.13,144,138,6,10,5,35,1284.2,1242,672,590,142,512,37,1047,51,5,60,5529,98,4.22,1.365,8.7,1,3.6,7.3,2.04,1003,1995,-4,0,0,40,4.67,0.69,11562,5500,3854,1538,108,130,0.98,-85,-9
"688","Seattle Mariners1995",46,28.7,5.49,145,5671,4996,796,1377,276,20,182,767,110,41,549,871,0.276,0.35,0.448,0.798,106,2239,109,39,52,34,53,1033,24,28.9,4.88,79,66,0.545,4.5,145,136,9,8,3,39,1289.1,1343,708,644,149,591,37,1068,47,7,50,5743,106,4.43,1.5,9.4,1,4.1,7.5,1.81,1167,1995,88,1,0,46,4.88,0.676,11604,5329,3868,1357,104,108,0.98,10,1
"689","San Francisco Giants1995",46,28.7,4.53,144,5603,4971,652,1256,229,33,152,610,138,46,472,1060,0.253,0.323,0.404,0.727,95,2007,92,57,79,24,55,1046,25,28.6,5.39,67,77,0.465,4.86,144,132,12,5,1,34,1293.2,1368,776,699,173,505,51,801,56,15,43,5672,83,4.9,1.448,9.5,1.2,3.5,5.6,1.59,1015,1995,-124,0,0,46,5.39,0.694,11643,5537,3881,1548,108,142,0.98,78,8
"690","St. Louis Cardinals1995",46,28.7,3.94,143,5349,4779,563,1182,238,24,107,533,79,46,436,920,0.247,0.314,0.374,0.688,83,1789,110,46,48,40,31,957,21,30.2,4.6,62,81,0.434,4.09,143,139,4,6,2,38,1265.2,1290,658,575,135,445,37,842,40,6,51,5420,102,4.31,1.371,9.2,1,3.2,6,1.89,965,1995,-95,0,0,46,4.6,0.69,11391,5532,3797,1622,113,156,0.98,40,4
"691","Texas Rangers1995",46,29,4.8,144,5566,4913,691,1304,247,24,138,651,90,47,526,877,0.265,0.338,0.41,0.747,92,2013,112,33,49,45,28,1031,22,30.6,5,74,70,0.514,4.66,144,130,14,4,3,34,1285,1385,720,665,152,514,38,838,36,6,60,5626,105,4.62,1.478,9.7,1.1,3.6,5.9,1.63,1051,1995,-29,0,0,45,5,0.683,11565,5542,3855,1589,98,156,0.982,24,3
"692","Toronto Blue Jays1995",39,28.9,4.46,144,5650,5036,642,1309,275,27,140,613,75,16,492,906,0.26,0.328,0.409,0.737,92,2058,119,44,33,45,27,1079,20,28.7,5.4,56,88,0.389,4.88,144,128,16,8,3,22,1292.2,1336,777,701,145,654,42,894,51,4,73,5773,97,4.81,1.539,9.3,1,4.6,6.2,1.37,1118,1995,-135,0,0,38,5.4,0.689,11634,5374,3878,1399,97,131,0.982,-59,-6
"693","Atlanta Braves1996",42,27.9,4.77,162,6293,5614,773,1514,264,28,197,735,83,43,530,1032,0.27,0.333,0.432,0.765,96,2425,144,27,69,50,41,1154,18,27.9,4,96,66,0.593,3.52,162,148,14,9,3,46,1469,1372,648,575,120,451,64,1245,19,5,49,6132,125,3.5,1.241,8.4,0.7,2.8,7.6,2.76,1077,1996,125,1,1,42,4,0.689,13221,6346,4407,1809,130,143,0.98,38,3
"694","Baltimore Orioles1996",45,31.2,5.82,163,6494,5689,949,1557,299,29,257,914,76,40,645,915,0.274,0.35,0.472,0.822,106,2685,134,61,31,67,49,1154,23,28.9,5.54,88,74,0.543,5.14,163,150,13,1,1,44,1468.2,1604,903,839,209,597,35,1047,38,5,38,6460,96,4.89,1.499,9.8,1.3,3.7,6.4,1.75,1151,1996,46,1,0,44,5.54,0.681,13218,6233,4406,1730,97,173,0.984,-30,-3
"695","Boston Red Sox1996",55,28.4,5.73,162,6545,5756,928,1631,308,31,209,882,91,44,642,1020,0.283,0.359,0.457,0.816,104,2628,148,67,33,47,50,1251,23,28.7,5.69,85,77,0.525,4.98,162,145,17,5,3,37,1458,1606,921,807,185,722,41,1165,50,6,51,6633,101,4.81,1.597,9.9,1.1,4.5,7.2,1.61,1338,1996,7,0,0,54,5.69,0.665,13122,6147,4374,1638,135,152,0.978,-77,-7
"696","California Angels1996",52,29.3,4.73,161,6320,5686,762,1571,256,24,192,727,53,39,527,974,0.276,0.339,0.431,0.77,95,2451,148,29,45,33,40,1209,30,29.1,5.86,70,91,0.435,5.3,161,149,12,8,3,38,1439,1546,943,847,219,662,47,1052,84,8,80,6461,93,5.24,1.534,9.7,1.4,4.1,6.6,1.59,1201,1996,-181,0,0,51,5.86,0.683,12951,6147,4317,1702,128,156,0.979,-6,-1
"697","Chicago Cubs1996",41,29,4.77,162,6229,5531,772,1388,267,19,175,725,108,50,523,1090,0.251,0.32,0.401,0.721,88,2218,126,61,66,48,48,1078,17,28.3,4.76,76,86,0.469,4.36,162,152,10,10,5,34,1456.1,1447,771,705,184,546,55,1027,55,8,48,6268,99,4.64,1.369,8.9,1.1,3.4,6.3,1.88,1128,1996,1,0,0,41,4.76,0.702,13107,6240,4369,1767,104,147,0.983,91,8
"698","Chicago White Sox1996",44,30.6,5.54,162,6497,5644,898,1586,284,33,195,860,105,41,701,927,0.281,0.36,0.447,0.807,108,2521,139,34,56,62,68,1231,22,27.8,4.9,85,77,0.525,4.52,162,155,7,4,1,43,1461,1529,794,733,174,616,60,1039,36,1,59,6405,105,4.64,1.468,9.4,1.1,3.8,6.4,1.69,1228,1996,104,0,0,43,4.9,0.687,13149,6066,4383,1574,109,145,0.982,-16,-1
"699","Cincinnati Reds1996",48,29.3,4.8,162,6214,5455,778,1398,259,36,191,733,171,63,604,1134,0.256,0.331,0.422,0.753,98,2302,115,34,71,49,47,1116,24,29.2,4.77,81,81,0.5,4.32,162,156,6,8,5,52,1443,1447,773,692,167,591,66,1089,42,6,66,6277,98,4.48,1.412,9,1,3.7,6.8,1.84,1175,1996,5,0,0,48,4.77,0.69,12987,6144,4329,1694,121,145,0.98,-40,-4
"700","Cleveland Indians1996",44,29.8,5.91,161,6486,5681,952,1665,335,23,218,904,160,50,671,844,0.293,0.369,0.475,0.844,113,2700,164,43,34,57,44,1224,18,30.3,4.78,99,62,0.615,4.34,161,148,13,9,3,46,1452.1,1530,769,700,173,484,42,1033,39,3,49,6245,112,4.38,1.387,9.5,1.1,3,6.4,2.13,1119,1996,183,1,0,44,4.78,0.682,13071,6246,4357,1765,124,156,0.98,-13,-1
"701","Colorado Rockies1996",44,30.1,5.93,162,6333,5590,961,1607,297,37,221,909,201,66,527,1108,0.287,0.355,0.472,0.827,99,2641,118,82,81,52,40,1108,21,28.8,5.95,83,79,0.512,5.59,162,157,5,4,1,34,1422.2,1597,964,884,198,624,19,932,69,11,66,6391,93,5.13,1.561,10.1,1.3,3.9,5.9,1.49,1159,1996,-3,0,0,44,5.95,0.674,12804,6318,4268,1901,149,167,0.976,-5,0
"702","Detroit Tigers1996",53,27,4.83,162,6203,5530,783,1413,257,21,204,741,87,50,546,1268,0.256,0.323,0.42,0.743,87,2324,132,29,48,49,26,1040,27,26.7,6.81,53,109,0.327,6.38,162,152,10,4,4,22,1432.2,1699,1103,1015,241,784,63,957,80,4,82,6713,80,5.83,1.733,10.7,1.5,4.9,6,1.22,1312,1996,-320,0,0,53,6.81,0.668,12894,6162,4298,1727,137,157,0.978,-77,-7
"703","Florida Marlins1996",46,27.9,4.25,162,6194,5498,688,1413,240,30,150,650,99,46,553,1122,0.257,0.329,0.393,0.722,93,2163,138,55,41,45,51,1171,23,28,4.34,80,82,0.494,3.95,162,154,8,13,4,41,1443,1386,703,634,113,598,49,1050,57,5,49,6183,103,4.1,1.375,8.6,0.7,3.7,6.5,1.76,1151,1996,-15,0,0,46,4.34,0.692,12987,6236,4329,1796,111,187,0.982,48,4
"704","Houston Astros1996",43,28.2,4.65,162,6270,5508,753,1445,297,29,129,703,180,63,554,1057,0.262,0.336,0.397,0.733,100,2187,115,84,68,55,64,1172,22,28.5,4.89,82,80,0.506,4.37,162,149,13,4,3,35,1447,1541,792,702,154,539,60,1163,70,12,65,6364,88,4.21,1.437,9.6,1,3.4,7.2,2.16,1231,1996,-39,0,0,43,4.89,0.667,13023,6171,4341,1692,138,130,0.978,8,1
"705","Kansas City Royals1996",40,27.1,4.63,161,6229,5542,746,1477,286,38,123,689,195,85,529,943,0.267,0.332,0.398,0.731,85,2208,102,43,66,49,36,1117,19,29,4.88,75,86,0.466,4.55,161,144,17,8,5,35,1450,1563,786,733,176,460,32,926,56,4,56,6251,109,4.54,1.395,9.7,1.1,2.9,5.7,2.01,1115,1996,-40,0,0,40,4.88,0.685,13050,6165,4350,1704,111,184,0.982,6,1
"706","Los Angeles Dodgers1996",40,27.9,4.34,162,6185,5538,703,1396,215,33,150,661,124,40,516,1190,0.252,0.316,0.384,0.701,90,2127,112,22,74,35,59,1113,15,28.3,4.02,90,72,0.556,3.46,162,156,6,9,4,50,1466.1,1378,652,564,125,534,66,1212,39,22,39,6223,112,3.8,1.304,8.5,0.8,3.3,7.4,2.27,1172,1996,51,0,0,38,4.02,0.69,13197,6160,4399,1636,125,143,0.98,-33,-3
"707","Milwaukee Brewers1996",48,27.8,5.52,162,6434,5662,894,1578,304,40,178,845,101,48,624,986,0.279,0.353,0.441,0.794,97,2496,115,53,45,50,35,1198,24,27.2,5.55,80,82,0.494,5.14,162,156,6,4,1,42,1447.1,1570,899,826,213,635,33,846,57,6,56,6437,101,5.35,1.523,9.8,1.3,3.9,5.3,1.33,1196,1996,-5,0,0,48,5.55,0.692,13026,6169,4342,1693,134,180,0.978,8,1
"708","Minnesota Twins1996",38,28.6,5.41,162,6403,5673,877,1633,332,47,118,812,143,53,576,958,0.288,0.357,0.425,0.782,97,2413,172,65,20,63,42,1194,18,25.8,5.56,78,84,0.481,5.28,162,149,13,5,3,31,1439.2,1561,900,844,233,581,27,959,41,3,49,6355,97,5.24,1.488,9.8,1.5,3.6,6,1.65,1136,1996,-23,0,0,38,5.56,0.694,12957,5932,4319,1519,94,142,0.984,34,3
"709","Montreal Expos1996",39,27.3,4.57,162,6171,5505,741,1441,297,27,148,696,108,34,492,1077,0.262,0.327,0.406,0.733,91,2236,119,58,79,36,49,1119,18,27.5,4.12,88,74,0.543,3.78,162,151,11,7,3,43,1441.1,1353,668,605,152,482,33,1206,56,9,46,6119,115,3.99,1.273,8.4,0.9,3,7.5,2.5,1127,1996,73,0,0,37,4.12,0.696,12972,6163,4324,1713,126,121,0.98,1,0
"710","New York Mets1996",40,27.2,4.6,162,6220,5618,746,1515,267,47,147,697,97,48,445,1069,0.27,0.324,0.412,0.737,98,2317,114,33,75,49,54,1124,17,27.4,4.81,71,91,0.438,4.22,162,152,10,10,3,41,1440,1517,779,675,159,532,73,999,44,12,60,6288,96,4.42,1.423,9.5,1,3.3,6.2,1.88,1189,1996,-33,0,0,40,4.81,0.678,12960,6196,4320,1717,159,163,0.974,80,7
"711","New York Yankees1996",48,30.1,5.38,162,6414,5628,871,1621,293,28,162,830,96,46,632,909,0.288,0.36,0.436,0.796,100,2456,153,41,41,72,56,1258,24,29.3,4.86,92,70,0.568,4.65,162,156,6,9,2,52,1440,1469,787,744,143,610,35,1139,49,5,55,6289,108,4.25,1.444,9.2,0.9,3.8,7.1,1.87,1182,1996,84,1,1,47,4.86,0.682,12960,6024,4320,1613,91,146,0.985,-45,-4
"712","Oakland Athletics1996",43,28.2,5.31,162,6402,5630,861,1492,283,21,243,823,58,35,640,1114,0.265,0.344,0.452,0.796,99,2546,134,58,35,39,36,1175,20,27.1,5.56,78,84,0.481,5.2,162,155,7,5,3,34,1456.1,1638,900,841,205,644,61,884,52,6,60,6505,98,5.22,1.567,10.1,1.3,4,5.5,1.37,1236,1996,-39,0,0,43,5.56,0.682,13107,6250,4369,1778,103,195,0.984,-53,-5
"713","Philadelphia Phillies1996",54,28.3,4.01,162,6171,5499,650,1405,249,39,132,604,117,41,536,1092,0.256,0.325,0.387,0.712,88,2128,116,45,54,37,52,1207,25,27.7,4.88,67,95,0.414,4.48,162,150,12,6,3,42,1423.1,1463,790,708,160,510,49,1044,35,7,71,6138,96,4.32,1.386,9.3,1,3.2,6.6,2.05,1078,1996,-140,0,0,54,4.88,0.686,12810,5968,4270,1582,116,145,0.981,2,0
"714","Pittsburgh Pirates1996",46,28.8,4.79,162,6336,5665,776,1509,319,33,138,738,126,49,510,989,0.266,0.329,0.407,0.736,91,2308,107,40,72,49,46,1181,25,27.9,5.14,73,89,0.451,4.61,162,157,5,7,2,37,1453.1,1602,833,744,183,479,50,1044,50,8,62,6338,95,4.46,1.432,9.9,1.1,3,6.5,2.18,1145,1996,-57,0,0,46,5.14,0.673,13080,6356,4360,1868,128,144,0.98,-45,-4
"715","San Diego Padres1996",43,30.8,4.76,162,6419,5655,771,1499,285,24,147,718,109,55,601,1014,0.265,0.338,0.402,0.74,100,2273,146,50,59,52,62,1209,19,28.7,4.21,91,71,0.562,3.72,162,157,5,11,1,47,1489,1395,682,616,138,506,47,1194,45,10,59,6292,107,3.88,1.277,8.4,0.8,3.1,7.2,2.36,1143,1996,89,1,0,41,4.21,0.698,13401,6353,4467,1768,118,136,0.981,-27,-2
"716","Seattle Mariners1996",49,28.6,6.17,161,6518,5668,993,1625,343,19,245,954,90,39,670,1052,0.287,0.366,0.484,0.85,114,2741,121,75,46,58,57,1238,25,27.8,5.56,85,76,0.528,5.21,161,157,4,4,2,34,1431.2,1562,895,829,216,605,52,1000,60,3,37,6351,95,5.13,1.514,9.8,1.4,3.8,6.3,1.65,1161,1996,98,0,0,48,5.56,0.683,12885,5947,4295,1542,110,155,0.982,50,5
"717","San Francisco Giants1996",49,28.9,4.64,162,6316,5533,752,1400,245,21,153,707,113,53,615,1189,0.253,0.331,0.388,0.719,94,2146,108,48,77,43,62,1198,20,28.4,5.32,68,94,0.42,4.71,162,153,9,8,1,35,1442.1,1520,862,755,194,570,60,997,67,10,58,6330,86,4.86,1.449,9.5,1.2,3.6,6.2,1.75,1141,1996,-110,0,0,49,5.32,0.686,12981,6100,4327,1637,136,165,0.978,26,2
"718","St. Louis Cardinals1996",38,30.7,4.69,162,6178,5502,759,1468,281,31,142,711,149,58,495,1089,0.267,0.33,0.407,0.736,94,2237,121,44,88,48,59,1087,18,30.9,4.36,88,74,0.543,3.97,162,149,13,11,5,43,1452.1,1380,706,641,173,539,43,1050,35,6,44,6184,106,4.46,1.321,8.6,1.1,3.3,6.5,1.95,1121,1996,53,1,0,38,4.36,0.706,13071,6148,4357,1666,125,139,0.98,78,7
"719","Texas Rangers1996",39,29.4,5.69,163,6494,5702,928,1622,323,32,221,890,83,26,660,1041,0.284,0.358,0.469,0.827,103,2672,128,31,32,69,51,1253,17,30.5,4.9,90,72,0.556,4.65,163,144,19,6,5,43,1449.1,1569,799,749,168,582,44,976,43,9,38,6358,113,4.63,1.484,9.7,1,3.6,6.1,1.68,1211,1996,129,1,0,38,4.9,0.684,13044,6082,4348,1647,87,150,0.986,23,2
"720","Toronto Blue Jays1996",40,28.6,4.73,162,6295,5599,766,1451,302,35,177,712,116,38,529,1105,0.259,0.331,0.42,0.752,90,2354,120,92,38,37,19,1169,20,28.3,4.99,74,88,0.457,4.57,162,143,19,7,5,35,1445.2,1476,809,734,187,610,37,1033,36,3,61,6271,110,4.77,1.443,9.2,1.2,3.8,6.4,1.69,1125,1996,-43,0,0,40,4.99,0.691,13011,6055,4337,1608,110,187,0.982,-19,-2
"721","Anaheim Angels1997",43,29.7,5.12,162,6387,5628,829,1531,279,25,161,775,126,72,617,953,0.272,0.346,0.416,0.762,97,2343,129,45,40,57,37,1203,21,28.3,4.9,84,78,0.519,4.52,162,153,9,5,3,39,1454.2,1506,794,730,202,605,34,1050,54,9,57,6365,104,4.83,1.451,9.3,1.2,3.7,6.5,1.74,1207,1997,35,0,0,41,4.9,0.69,13092,6079,4364,1592,123,140,0.98,21,2
"722","Atlanta Braves1997",38,27.9,4.88,162,6315,5528,791,1490,268,37,174,755,108,58,597,1160,0.27,0.343,0.426,0.769,99,2354,143,52,83,52,45,1177,17,28.5,3.59,101,61,0.623,3.18,162,141,21,17,10,37,1465.2,1319,581,518,111,450,56,1196,31,4,38,6057,131,3.45,1.207,8.1,0.7,2.8,7.3,2.66,1079,1997,210,1,0,38,3.59,0.7,13191,6180,4397,1669,114,136,0.982,69,6
"723","Baltimore Orioles1997",39,31.7,5.01,162,6340,5584,812,1498,264,22,196,780,63,26,586,952,0.268,0.341,0.429,0.77,103,2394,121,65,46,59,44,1198,17,30.7,4.2,98,64,0.605,3.91,162,154,8,10,4,59,1461,1404,681,635,164,563,31,1139,30,4,43,6219,113,4.23,1.346,8.6,1,3.5,7,2.02,1155,1997,131,1,0,38,4.2,0.699,13149,6145,4383,1665,97,148,0.984,14,1
"724","Boston Red Sox1997",46,27.9,5.25,162,6430,5781,851,1684,373,32,185,810,68,48,514,1044,0.291,0.352,0.463,0.815,110,2676,155,59,21,55,54,1221,25,27.8,5.29,78,84,0.481,4.85,162,155,7,4,3,40,1451.2,1569,857,782,149,611,52,987,70,1,51,6440,97,4.49,1.502,9.7,0.9,3.8,6.1,1.62,1228,1997,-6,0,0,45,5.29,0.674,13065,6186,4355,1696,135,179,0.978,24,2
"725","Chicago Cubs1997",42,29.4,4.24,162,6098,5489,687,1444,269,39,127,642,116,60,451,1003,0.263,0.321,0.396,0.717,85,2172,119,34,83,38,40,1093,21,28.2,4.69,68,94,0.42,4.44,162,156,6,4,2,37,1429,1451,759,705,185,590,51,1072,43,8,35,6226,97,4.62,1.428,9.1,1.2,3.7,6.8,1.82,1180,1997,-72,0,0,42,4.69,0.692,12861,6004,4287,1605,112,117,0.981,38,4
"726","Chicago White Sox1997",45,29.3,4.84,161,6201,5491,779,1498,260,28,158,740,106,52,569,901,0.273,0.341,0.417,0.758,101,2288,133,33,47,60,40,1148,22,29.4,5.17,80,81,0.497,4.73,161,155,6,7,1,52,1422.1,1505,833,748,175,575,45,961,32,9,71,6262,93,4.64,1.462,9.5,1.1,3.6,6.1,1.67,1162,1997,-54,0,0,45,5.17,0.688,12801,5833,4267,1439,127,131,0.978,-26,-2
"727","Cincinnati Reds1997",50,28.2,4.02,162,6153,5484,651,1386,269,27,142,612,190,67,518,1113,0.253,0.321,0.389,0.71,84,2135,104,45,75,30,35,1144,25,29.6,4.72,76,86,0.469,4.41,162,157,5,8,0,49,1449,1408,764,710,173,558,62,1159,77,7,64,6264,98,4.38,1.357,8.7,1.1,3.5,7.2,2.08,1153,1997,-113,0,0,50,4.72,0.697,13041,6029,4347,1576,106,129,0.982,-13,-1
